"Rationale","Fbar (2018)","Catch (2018)","SSB (2018)","TSB (2018)","Fbar (2019)","Catch (2019)","SSB (2019)","TSB (2019)","SSB (2020)","TSB (2020)"
Fmult(2017) = 0.000,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0,0,2167164.27371868,2667210.24350512,2642784.91177417,3166782.70552204
Fmult(2017) = 0.010,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.01,19775.6887547195,2164239.7096373,2667210.24350512,2623331.5069956,3149803.95711089
Fmult(2017) = 0.020,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.02,39374.3495225302,2161320.07973893,2667210.24350512,2604086.93281102,3132979.8591982
Fmult(2017) = 0.030,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.03,58797.7634976141,2158405.37514873,2667210.24350512,2585048.69475803,3116308.83445348
Fmult(2017) = 0.040,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.04,78047.6932480654,2155495.58700823,2667210.24350512,2566214.32925117,3099789.32219392
Fmult(2017) = 0.050,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.05,97125.8829147135,2152590.7064753,2667210.24350512,2547581.40319279,3083419.77820557
Fmult(2017) = 0.060,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.06,116034.058407792,2149690.72472414,2667210.24350512,2529147.51358894,3067198.67456639
Fmult(2017) = 0.070,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.07,134773.92760148,2146795.6329452,2667210.24350512,2510910.28717016,3051124.49947125
Fmult(2017) = 0.080,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.08,153347.180526336,2143905.42234518,2667210.24350512,2492867.38001706,3035195.75705886
Fmult(2017) = 0.090,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.09,171755.489559653,2141020.08414702,2667210.24350512,2475016.47719073,3019410.96724051
