"a). Catch(2019) = Zero"
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","3977184.44512618","3977184.44512618","3977184.44512618","0.00280223671872976","0","4.19996299797507e-37"," ","2018","2353927.00947951","0.455264667105521","1000558.99599214"
"1","4524561.86163329","3413615.20248279","3423194.37563377","0.0394652459862519","0","5.91500966853996e-36"," ","2019","2167164.27371868","0","0"
"2","685511.608291627","3743629.14410806","2938125.83322277","0.0762036853790983","0","1.14213284253382e-35"," ","2020","2642784.91177417","6.82345907234906e-35","1.61974660525789e-28"
"3","1156774.33270878","546733.645844121","3222171.46511112","0.201417315289048","0","3.01882159244899e-35"," ","","","",""
"4","2501605.51984589","814010.56715837","470578.009957987","0.339322970064661","0","5.08573707963041e-35"," ","","","",""
"5","831219.83203593","1533587.50254711","700625.388047494","0.406667914636556","0","6.09509604424654e-35"," ","","","",""
"6","788762.316436823","476385.015981752","1319970.99598808","0.48434264885595","0","7.25927681248257e-35"," ","","","",""
"7","965216.878632041","418268.001927826","410028.383104872","0.522994900985219","0","7.8385927126929e-35"," ","","","",""
"8","716720.955267058","492432.758240193","360006.605542651","0.522994900985219","0","7.8385927126929e-35"," ","","","",""
"9","389037.365350636","365655.517121608","423840.802870326","0.522994900985219","0","7.8385927126929e-35"," ","","","",""
"10","258445.106937554","198478.442637287","314722.620210397","0.522994900985219","0","7.8385927126929e-35"," ","","","",""
"11","221993.489243492","131853.099215703","170831.978726337","0.522994900985219","0","7.8385927126929e-35"," ","","","",""
"12","205491.790423986","218093.73627208","301202.032629042","0.522994900985219","0","7.8385927126929e-35"," ","","","",""
""
"b). Catch(2019) = 2018 catch  -20%"
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","3977184.44512618","3977184.44512618","3977184.44512618","0.00280223671872976","0.00306566572235103","0.00306566572012194"," ","2018","2353927.00947951","0.455264667105521","1000558.99599214"
"1","4524561.86163329","3413615.20248279","3412716.07566449","0.0394652459862519","0.0431752432032391","0.0431752431718457"," ","2019","2027331.58024423","0.498062592362149","800447.2"
"2","685511.608291627","3743629.14410806","2813971.02858611","0.0762036853790983","0.0833673417459965","0.0833673416853788"," ","2020","1885649.8376868","0.498062592","675444.852840157"
"3","1156774.33270878","546733.645844121","2964440.0418389","0.201417315289048","0.220351890774419","0.220351890614197"," ","","","",""
"4","2501605.51984589","814010.56715837","377514.831536607","0.339322970064661","0.371221599938608","0.371221599668687"," ","","","",""
"5","831219.83203593","1533587.50254711","483355.180977193","0.406667914636556","0.444897419960434","0.444897419636942"," ","","","",""
"6","788762.316436823","476385.015981752","845956.231660733","0.48434264885595","0.529874098981706","0.529874098596427"," ","","","",""
"7","965216.878632041","418268.001927826","241375.131466604","0.522994900985219","0.572159921464999","0.572159921048973"," ","","","",""
"8","716720.955267058","492432.758240193","203153.623438603","0.522994900985219","0.572159921464999","0.572159921048973"," ","","","",""
"9","389037.365350636","365655.517121608","239175.597165626","0.522994900985219","0.572159921464999","0.572159921048973"," ","","","",""
"10","258445.106937554","198478.442637287","177599.632033026","0.522994900985219","0.572159921464999","0.572159921048973"," ","","","",""
"11","221993.489243492","131853.099215703","96401.3852610546","0.522994900985219","0.572159921464999","0.572159921048973"," ","","","",""
"12","205491.790423986","218093.73627208","169969.893256341","0.522994900985219","0.572159921464999","0.572159921048973"," ","","","",""
""
"c). Catch(2019) = 2018 catch"
