"Rationale","Fbar (2018)","Catch (2018)","SSB (2018)","TSB (2018)","Fbar (2019)","Catch (2019)","SSB (2019)","TSB (2019)","SSB (2020)","TSB (2020)"
Catch(2019) = Zero,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0,0,2167164.27371868,2667210.24350512,2642784.91177417,3166782.70552204
Catch(2019) = 2018 catch  -20%,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.498062592362149,800447.2,2027331.58024423,2667210.24350512,1885649.8376868,2481980.94821747
Catch(2019) = 2018 catch,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.66482343204527,1000559,1983069.3390008,2667210.24350512,1707074.17532559,2311697.74590209
Catch(2019) = 2018  +25%,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.911582621421252,1250698.75,1919801.10936741,2667210.24350512,1490696.53714035,2099476.71354458
Fbar(2019) = 0.24 (Fmp),0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.24,429172.190934178,2098318.78025663,2667210.24350512,2228803.85583904,2798953.31478861
Fbar(2019) = 0.23 ,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.23,413048.800093946,2101132.07474123,2667210.24350512,2244033.85757611,2812746.2037894
Fbar(2019) = Fbar(2018) ,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.382983525569091,645007.510445549,2058606.9801594,2667210.24350512,2027513.23890207,2614531.41448363
Fbar(2019) = 0.31 (Fpa),0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.35,597561.310886466,2067683.13121225,2667210.24350512,2071341.73999665,2655036.55635123
Fbar(2019) = F2018,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.455264667,744409.554234755,2038892.33605081,2667210.24350512,1936483.85390515,2529739.72912358
Fbar(2019) = 0.43 (Flim),0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.48,777044.432109151,2032200.59047932,2667210.24350512,1906836.44848659,2501922.45460841
Fbar(2019) = 0.21 (Fmsy),0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.21,380375.029444632,2106772.90026146,2667210.24350512,2274977.34397968,2840703.84384138
Fbar(2019) = 0.26,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.26,460999.054799176,2092706.38522992,2667210.24350512,2198817.84572592,2771733.15092563
Fbar(2019) = 0.27,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.27,476705.312234195,2089907.26769151,2667210.24350512,2184058.11145983,2758303.41620726
Fbar(2019) = 0.28,0.455264667105521,1000558.99599214,2353927.00947951,2977734.41127437,0.28,492275.285502154,2087112.85883163,2667210.24350512,2169451.4452995,2744992.29457128
