"Rationale","Fbar (2018)","Catch (2018)","SSB (2018)","TSB (2018)","Fbar (2019)","Catch (2019)","SSB (2019)","TSB (2019)","SSB (2020)","TSB (2020)"
Fmult(2017) = 0.000,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,3.55015996718953e-07,0.702196501038358,2159046.97033753,2658309.15551512,2634772.2450906,3158158.29794736
Fmult(2017) = 0.010,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.004570058174563,9020.69868844908,2157715.91790882,2658309.15551512,2627482.22596077,3150413.37387022
Fmult(2017) = 0.020,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.00914011634912596,18004.4031053065,2156385.78851459,2658309.15551512,2620190.44804545,3142700.16696126
Fmult(2017) = 0.030,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.013710174523689,26951.2838144498,2155056.68475906,2658309.15551512,2612897.71839668,3135019.12912422
Fmult(2017) = 0.040,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.0182802326982519,35861.5105624328,2153728.60579903,2658309.15551512,2605604.24598696,3127370.11003813
Fmult(2017) = 0.050,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.0228502908728149,44735.2522824838,2152401.55079199,2658309.15551512,2598310.23869974,3119752.96010899
Fmult(2017) = 0.060,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.0274203490473779,53572.6770984836,2151075.51889618,2658309.15551512,2591015.90332169,3112167.53046617
Fmult(2017) = 0.070,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.0319904072219408,62373.9523289242,2149750.50927051,2658309.15551512,2583721.4455351,3104613.67295886
Fmult(2017) = 0.080,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.0365604653965038,71139.2444908471,2148426.52107463,2658309.15551512,2576427.06991042,3097091.2401525
Fmult(2017) = 0.090,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.0411305235710668,79868.7193037627,2147103.55346888,2658309.15551512,2569132.97989896,3089600.0853253
Fmult(2017) = 0.100,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.0457005817456298,88562.5416935501,2145781.60561432,2658309.15551512,2561839.37782571,3082140.0624647
