"Rationale","Fbar (2018)","Catch (2018)","SSB (2018)","TSB (2018)","Fbar (2019)","Catch (2019)","SSB (2019)","TSB (2019)","SSB (2020)","TSB (2020)"
Fmult(2017) = 0.000,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,2.85233560483886e-07,1.04394966909044,4272834.85551702,5019115.76239567,4791314.33770853,5479866.97626125
Fmult(2017) = 0.010,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.00285178627568857,10424.3672342233,4271259.07535009,5019115.76239567,4782896.68249813,5470988.13596234
Fmult(2017) = 0.020,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.00570357255137718,20822.5436934026,4269683.86853487,5019115.76239567,4774461.63628932,5462131.25869627
Fmult(2017) = 0.030,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.00855535882706575,31194.6037548582,4268109.39236433,5019115.76239567,4766010.29480811,5453297.16790139
Fmult(2017) = 0.040,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0114071451027544,41540.6215744873,4266535.64647097,5019115.76239567,4757542.85314019,5444485.79792498
Fmult(2017) = 0.050,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0142589313784429,51860.6710874378,4264962.63048744,5019115.76239567,4749059.5062159,5435697.08331161
Fmult(2017) = 0.060,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0171107176541315,62154.8260087822,4263390.34404659,5019115.76239567,4740560.44880302,5426930.95880246
Fmult(2017) = 0.070,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0199625039298201,72423.1598341877,4261818.78678149,5019115.76239567,4732045.87549964,5418187.35933477
Fmult(2017) = 0.080,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0228142902055087,82665.7458405855,4260247.95832536,5019115.76239567,4723515.98072699,5409466.22004126
Fmult(2017) = 0.090,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0256660764811973,92882.6570868372,4258677.85831164,5019115.76239567,4714970.95872238,5400767.47624944
Fmult(2017) = 0.100,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0285178627568858,103073.9664144,4257108.48637395,5019115.76239567,4706411.0035321,5392091.06348112
Fmult(2017) = 0.110,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0313696490325744,113239.746447987,4255539.84214611,5019115.76239567,4697836.30900444,5383436.91745173
Fmult(2017) = 0.120,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.034221435308263,123380.069596232,4253971.92526212,5019115.76239567,4689247.06878264,5374804.97406978
Fmult(2017) = 0.130,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0370732215839516,133495.008052345,4252404.73535617,5019115.76239567,4680643.47629797,5366195.16943624
Fmult(2017) = 0.140,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.0399250078596402,143584.633794767,4250838.27206265,5019115.76239567,4672025.72476281,5357607.43984396
