"a). Catch(2019) = Zero"
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","4397873.9747327","4397873.9747327","4397873.9747327","0.00209508412162111","2.09548769000563e-09","6.45910117483447e-10"," ","2018","4178339.57482984","0.285178627568859","1000558.99771495"
"1","5970272.42466146","3777363.02015087","3785285.20143259","0.0118312973101209","1.18335763296089e-08","3.64756458067597e-09"," ","2019","4272834.85551702","2.85233560483886e-07","1.04394966909044"
"2","5028684.08822179","5078222.30976534","3251206.4428235","0.038754870045122","3.87623352538623e-08","1.19480465751091e-08"," ","2020","4791314.33770853","8.79199832292375e-08","0.386200613171296"
"3","2025719.533197","4163697.35652029","4370866.27864972","0.108166540844789","1.08187376569569e-07","3.33475216502409e-08"," ","","","",""
"4","3558913.83628159","1564800.62801362","3583727.13846288","0.200033212307781","2.00071743973172e-07","6.16698271582224e-08"," ","","","",""
"5","1254604.8902811","2507840.90019577","1346836.11258238","0.262118463185347","2.62168954105329e-07","8.0810582068478e-08"," ","","","",""
"6","1140248.18370323","830856.843908427","2158518.10050699","0.31501834595725","3.15079026787991e-07","9.71195069194869e-08"," ","","","",""
"7","1380998.65609648","716216.773009893","715124.887498444","0.324361558196958","3.24424038776469e-07","1e-07"," ","","","",""
"8","1075660.15783485","859370.91043228","616453.289386731","0.324361558196958","3.24424038776469e-07","1e-07"," ","","","",""
"9","619201.793229243","669364.191683681","739667.157350882","0.324361558196958","3.24424038776469e-07","1e-07"," ","","","",""
"10","389104.221385326","385318.266922006","576126.912006005","0.324361558196958","3.24424038776469e-07","1e-07"," ","","","",""
"11","344221.890613364","242132.638948484","331646.398207969","0.324361558196958","3.24424038776469e-07","1e-07"," ","","","",""
"12","274892.536745176","385263.900693976","540005.030861104","0.324361558196958","3.24424038776469e-07","1e-07"," ","","","",""
""
"b). Catch(2019) = 2018 catch  -20%"
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","4397873.9747327","4397873.9747327","4397873.9747327","0.00209508412162111","0.00178319582644034","0.00365905059915718"," ","2018","4178339.57482984","0.285178627568859","1000558.99771495"
"1","5970272.42466146","3777363.02015087","3778541.31920279","0.0118312973101209","0.0100700109208302","0.0206632827124417"," ","2019","4141282.33911918","0.242725021502855","800447.199999913"
"2","5028684.08822179","5078222.30976534","3218631.08907756","0.038754870045122","0.0329855597708535","0.0676851249052172"," ","2020","3880444.03955625","0.498062592","1480056.34292028"
"3","2025719.533197","4163697.35652029","4229042.89523379","0.108166540844789","0.0920641430119145","0.188912150114831"," ","","","",""
"4","3558913.83628159","1564800.62801362","3268526.67132322","0.200033212307781","0.170254924685643","0.349356685868906"," ","","","",""
"5","1254604.8902811","2507840.90019577","1135988.84073112","0.262118463185347","0.223097748086316","0.457788167009913"," ","","","",""
"6","1140248.18370323","830856.843908427","1726894.02863211","0.31501834595725","0.268122598976337","0.550177463341415"," ","","","",""
"7","1380998.65609648","716216.773009893","546937.705144256","0.324361558196958","0.276074917882988","0.566495321889883"," ","","","",""
"8","1075660.15783485","859370.91043228","467737.835712584","0.324361558196958","0.276074917882988","0.566495321889883"," ","","","",""
"9","619201.793229243","669364.191683681","561227.138022353","0.324361558196958","0.276074917882988","0.566495321889883"," ","","","",""
"10","389104.221385326","385318.266922006","437139.941593218","0.324361558196958","0.276074917882988","0.566495321889883"," ","","","",""
"11","344221.890613364","242132.638948484","251638.804091696","0.324361558196958","0.276074917882988","0.566495321889883"," ","","","",""
"12","274892.536745176","385263.900693976","409732.235608891","0.324361558196958","0.276074917882988","0.566495321889883"," ","","","",""
""
"c). Catch(2019) = 2018 catch"
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","4397873.9747327","4397873.9747327","4397873.9747327","0.00209508412162111","0.00229416959721752","0.00488417041606154"," ","2018","4178339.57482984","0.285178627568859","1000558.99771495"
"1","5970272.42466146","3777363.02015087","3776611.07689047","0.0118312973101209","0.01295556694092","0.0275817432385522"," ","2019","4104531.35617193","0.312277741209959","1000559"
"2","5028684.08822179","5078222.30976534","3209356.93574157","0.038754870045122","0.0424375535493242","0.0903473935959342"," ","2020","3653113.24199635","0.664823432","1764621.32332875"
"3","2025719.533197","4163697.35652029","4189258.32604567","0.108166540844789","0.118445071909709","0.252163535272774"," ","","","",""
"4","3558913.83628159","1564800.62801362","3183427.33672786","0.200033212307781","0.219041378517621","0.466327956811324"," ","","","",""
"5","1254604.8902811","2507840.90019577","1081898.14822941","0.262118463185347","0.287026283528844","0.611064362610311"," ","","","",""
"6","1140248.18370323","830856.843908427","1619950.99746125","0.31501834595725","0.344952980361316","0.734387354647372"," ","","","",""
"7","1380998.65609648","716216.773009893","506489.974590333","0.324361558196958","0.355184031821008","0.756168742965496"," ","","","",""
"8","1075660.15783485","859370.91043228","432161.276980456","0.324361558196958","0.355184031821008","0.756168742965496"," ","","","",""
"9","619201.793229243","669364.191683681","518539.699219166","0.324361558196958","0.355184031821008","0.756168742965496"," ","","","",""
"10","389104.221385326","385318.266922006","403890.686094019","0.324361558196958","0.355184031821008","0.756168742965496"," ","","","",""
"11","344221.890613364","242132.638948484","232498.931262268","0.324361558196958","0.355184031821008","0.756168742965496"," ","","","",""
"12","274892.536745176","385263.900693976","378567.634775652","0.324361558196958","0.355184031821008","0.756168742965496"," ","","","",""
""
"d). Catch(2019) = 2018  +25%"
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","4397873.9747327","4397873.9747327","4397873.9747327","0.00209508412162111","0.002978431367449","0.00669700352752314"," ","2018","4178339.57482984","0.285178627568859","1000558.99771495"
"1","5970272.42466146","3777363.02015087","3774027.77023931","0.0118312973101209","0.016819709844783","0.0378191209619525"," ","2019","4055960.91043128","0.405418074105739","1250698.75"
"2","5028684.08822179","5078222.30976534","3196979.45149762","0.038754870045122","0.0550950290695181","0.123881183921177"," ","2020","3367373.43085777","0.911582621","2076751.17098812"
"3","2025719.533197","4163697.35652029","4136567.06399354","0.108166540844789","0.153772640838541","0.345757813789844"," ","","","",""
"4","3558913.83628159","1564800.62801362","3072927.9180176","0.200033212307781","0.284372922271054","0.639412572804206"," ","","","",""
"5","1254604.8902811","2507840.90019577","1013475.48621992","0.262118463185347","0.372635086430171","0.837870066631469"," ","","","",""
"6","1140248.18370323","830856.843908427","1487039.30182043","0.31501834595725","0.447839069199273","1.00696623698232"," ","","","",""
"7","1380998.65609648","716216.773009893","456970.318931302","0.324361558196958","0.461121646314098","1.03683211429101"," ","","","",""
"8","1075660.15783485","859370.91043228","388720.754245063","0.324361558196958","0.461121646314098","1.03683211429101"," ","","","",""
"9","619201.793229243","669364.191683681","466416.483204713","0.324361558196958","0.461121646314098","1.03683211429101"," ","","","",""
"10","389104.221385326","385318.266922006","363291.901643755","0.324361558196958","0.461121646314098","1.03683211429101"," ","","","",""
"11","344221.890613364","242132.638948484","209128.315597621","0.324361558196958","0.461121646314098","1.03683211429101"," ","","","",""
"12","274892.536745176","385263.900693976","340514.304175883","0.324361558196958","0.461121646314098","1.03683211429101"," ","","","",""
""
"e). Fbar(2019) = 0.24 (Fmp)"
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","4397873.9747327","4397873.9747327","4397873.9747327","0.00209508412162111","0.001763176271222","0.001763176271222"," ","2018","4178339.57482984","0.285178627568859","1000558.99771495"
"1","5970272.42466146","3777363.02015087","3778616.96467657","0.0118312973101209","0.00995695707857139","0.00995695707857139"," ","2019","4142730.6662179","0.24","792362.337737254"
"2","5028684.08822179","5078222.30976534","3218994.98825871","0.038754870045122","0.0326152380005526","0.0326152380005526"," ","2020","4022755.95107936","0.24","792900.337848827"
"3","2025719.533197","4163697.35652029","4230609.29190292","0.108166540844789","0.0910305587205381","0.0910305587205381"," ","","","",""
"4","3558913.83628159","1564800.62801362","3271906.71562608","0.200033212307781","0.168343509340564","0.168343509340564"," ","","","",""
"5","1254604.8902811","2507840.90019577","1138162.26372844","0.262118463185347","0.22059307775192","0.22059307775192"," ","","","",""
"6","1140248.18370323","830856.843908427","1731224.75012708","0.31501834595725","0.265112444345026","0.265112444345026"," ","","","",""
"7","1380998.65609648","716216.773009893","548586.552608329","0.324361558196958","0.272975484281245","0.272975484281245"," ","","","",""
"8","1075660.15783485","859370.91043228","469189.807059427","0.324361558196958","0.272975484281245","0.272975484281245"," ","","","",""
"9","619201.793229243","669364.191683681","562969.322770435","0.324361558196958","0.272975484281245","0.272975484281245"," ","","","",""
"10","389104.221385326","385318.266922006","438496.929677766","0.324361558196958","0.272975484281245","0.272975484281245"," ","","","",""
"11","344221.890613364","242132.638948484","252419.95178897","0.324361558196958","0.272975484281245","0.272975484281245"," ","","","",""
"12","274892.536745176","385263.900693976","411004.143546541","0.324361558196958","0.272975484281245","0.272975484281245"," ","","","",""
""
"f). Fbar(2019) = 0.23 "
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","4397873.9747327","4397873.9747327","4397873.9747327","0.00209508412162111","0.00168971059325441","0.00168971059325441"," ","2018","4178339.57482984","0.285178627568859","1000558.99771495"
"1","5970272.42466146","3777363.02015087","3778894.57353089","0.0118312973101209","0.00954208386696425","0.00954208386696425"," ","2019","4148051.07326527","0.23","762530.993794966"
"2","5028684.08822179","5078222.30976534","3220330.74011231","0.038754870045122","0.0312562697505296","0.0312562697505296"," ","2020","4051089.60695144","0.23","768628.443095672"
"3","2025719.533197","4163697.35652029","4236362.46391251","0.108166540844789","0.087237618773849","0.087237618773849"," ","","","",""
"4","3558913.83628159","1564800.62801362","3284340.42656272","0.200033212307781","0.161329196451374","0.161329196451374"," ","","","",""
"5","1254604.8902811","2507840.90019577","1146173.75466951","0.262118463185347","0.211401699512257","0.211401699512257"," ","","","",""
"6","1140248.18370323","830856.843908427","1747210.4443634","0.31501834595725","0.254066092497317","0.254066092497317"," ","","","",""
"7","1380998.65609648","716216.773009893","554680.026051876","0.324361558196958","0.261601505769526","0.261601505769526"," ","","","",""
"8","1075660.15783485","859370.91043228","474556.826163172","0.324361558196958","0.261601505769526","0.261601505769526"," ","","","",""
"9","619201.793229243","669364.191683681","569409.077139925","0.324361558196958","0.261601505769526","0.261601505769526"," ","","","",""
"10","389104.221385326","385318.266922006","443512.855776553","0.324361558196958","0.261601505769526","0.261601505769526"," ","","","",""
"11","344221.890613364","242132.638948484","255307.360430493","0.324361558196958","0.261601505769526","0.261601505769526"," ","","","",""
"12","274892.536745176","385263.900693976","415705.582190226","0.324361558196958","0.261601505769526","0.261601505769526"," ","","","",""
""
"g). Fbar(2019) = Fbar(2018) "
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","4397873.9747327","4397873.9747327","4397873.9747327","0.00209508412162111","0.00211058002332368","0.00211058002332368"," ","2018","4178339.57482984","0.285178627568859","1000558.99771495"
"1","5970272.42466146","3777363.02015087","3777304.48695832","0.0118312973101209","0.0119188053095561","0.0119188053095561"," ","2019","4117688.09024257","0.287287898473486","930021.994945141"
