2018
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"0",3977184.44512618,0.15,0,0,0.332333333333333,0,0.00218074546803485,0.0346666666666667
"1",4524561.86163329,0.15,0.102666666666667,0.182,0.332333333333333,0.065,0.0307124861201632,0.163333333333333
"2",685511.608291627,0.15,0.755666666666667,0.182,0.332333333333333,0.198333333333333,0.059302927703178,0.249333333333333
"3",1156774.33270878,0.15,0.940333333333333,0.198666666666667,0.332333333333333,0.241,0.1567461787095,0.301
"4",2501605.51984589,0.15,0.998,0.198666666666667,0.332333333333333,0.271666666666667,0.264066566618991,0.335
"5",831219.83203593,0.15,0.999333333333333,0.173666666666667,0.332333333333333,0.298333333333333,0.316475480430094,0.361333333333333
"6",788762.316436823,0.15,1,0.173666666666667,0.332333333333333,0.326666666666667,0.37692320188688,0.390666666666667
"7",965216.878632041,0.15,0.999,0.173666666666667,0.332333333333333,0.350666666666667,0.407003003174493,0.415333333333333
"8",716720.955267058,0.15,1,0.173666666666667,0.332333333333333,0.38,0.407003003174493,0.441666666666667
"9",389037.365350636,0.15,1,0.173666666666667,0.332333333333333,0.403,0.407003003174493,0.461333333333333
"10",258445.106937554,0.15,1,0.173666666666667,0.332333333333333,0.433333333333333,0.407003003174493,0.484
"11",221993.489243492,0.15,1,0.173666666666667,0.332333333333333,0.452333333333333,0.407003003174493,0.506
"12",205491.790423986,0.15,1,0.173666666666667,0.332333333333333,0.504333333333333,0.407003003174493,0.537
""
2019
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"0",3977184.44512618,0.15,0,0,0.332333333333333,0,0.00218074546803485,0.0346666666666667
"1",-,0.15,0.102666666666667,0.182,0.332333333333333,0.065,0.0307124861201632,0.163333333333333
"2",-,0.15,0.755666666666667,0.182,0.332333333333333,0.198333333333333,0.059302927703178,0.249333333333333
"3",-,0.15,0.940333333333333,0.198666666666667,0.332333333333333,0.241,0.1567461787095,0.301
"4",-,0.15,0.998,0.198666666666667,0.332333333333333,0.271666666666667,0.264066566618991,0.335
"5",-,0.15,0.999333333333333,0.173666666666667,0.332333333333333,0.298333333333333,0.316475480430094,0.361333333333333
"6",-,0.15,1,0.173666666666667,0.332333333333333,0.326666666666667,0.37692320188688,0.390666666666667
"7",-,0.15,0.999,0.173666666666667,0.332333333333333,0.350666666666667,0.407003003174493,0.415333333333333
"8",-,0.15,1,0.173666666666667,0.332333333333333,0.38,0.407003003174493,0.441666666666667
"9",-,0.15,1,0.173666666666667,0.332333333333333,0.403,0.407003003174493,0.461333333333333
"10",-,0.15,1,0.173666666666667,0.332333333333333,0.433333333333333,0.407003003174493,0.484
"11",-,0.15,1,0.173666666666667,0.332333333333333,0.452333333333333,0.407003003174493,0.506
"12",-,0.15,1,0.173666666666667,0.332333333333333,0.504333333333333,0.407003003174493,0.537
""
2020
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"0",3977184.44512618,0.15,0,0,0.332333333333333,0,0.00218074546803485,0.0346666666666667
"1",-,0.15,0.102666666666667,0.182,0.332333333333333,0.065,0.0307124861201632,0.163333333333333
"2",-,0.15,0.755666666666667,0.182,0.332333333333333,0.198333333333333,0.059302927703178,0.249333333333333
"3",-,0.15,0.940333333333333,0.198666666666667,0.332333333333333,0.241,0.1567461787095,0.301
"4",-,0.15,0.998,0.198666666666667,0.332333333333333,0.271666666666667,0.264066566618991,0.335
"5",-,0.15,0.999333333333333,0.173666666666667,0.332333333333333,0.298333333333333,0.316475480430094,0.361333333333333
"6",-,0.15,1,0.173666666666667,0.332333333333333,0.326666666666667,0.37692320188688,0.390666666666667
"7",-,0.15,0.999,0.173666666666667,0.332333333333333,0.350666666666667,0.407003003174493,0.415333333333333
"8",-,0.15,1,0.173666666666667,0.332333333333333,0.38,0.407003003174493,0.441666666666667
"9",-,0.15,1,0.173666666666667,0.332333333333333,0.403,0.407003003174493,0.461333333333333
"10",-,0.15,1,0.173666666666667,0.332333333333333,0.433333333333333,0.407003003174493,0.484
"11",-,0.15,1,0.173666666666667,0.332333333333333,0.452333333333333,0.407003003174493,0.506
"12",-,0.15,1,0.173666666666667,0.332333333333333,0.504333333333333,0.407003003174493,0.537
""
