"a). Catch(2019) = Zero"
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","3975638.38271505","3975638.38271505","3975638.38271505","0.00281078124314158","2.18350022357925e-09","5.35615424663057e-10"," ","2018","2345982.31728889","0.457005817456298","1000558.99491934"
"1","4519013.86897967","3412259.06171774","3421863.65991282","0.0396632104102966","3.08115862840883e-08","7.55812190623088e-09"," ","2019","2159046.97033753","3.55015996718953e-07","0.702196501038358"
"2","683297.641790332","3738298.60343369","2936958.50155679","0.0765392761090037","5.94580339200683e-08","1.45851325059743e-08"," ","2020","2634772.2450906","8.70858824704392e-08","0.205961125722299"
"3","1154065.08213806","544785.028899902","3217583.23492285","0.202312610730275","1.57162579564078e-07","3.85521837301978e-08"," ","","","",""
"4","2494490.10579795","811377.346819524","468900.746117445","0.340787845430027","2.64734346902739e-07","6.49396771788611e-08"," ","","","",""
"5","828584.021928141","1526986.97510844","698358.769418588","0.408333920115755","3.17206188864137e-07","7.78110877752554e-08"," ","","","",""
"6","785975.56514907","474083.907526387","1314289.45247219","0.486355305973737","3.77815570643866e-07","9.26786473980795e-08"," ","","","",""
"7","961329.355141429","415952.220199671","408047.646535938","0.524776007880986","4.07661938592011e-07","1e-07"," ","","","",""
"8","714406.614172802","489576.662522114","358013.247789165","0.524776007880986","4.07661938592011e-07","1e-07"," ","","","",""
"9","387815.639989016","363826.199605637","421382.366722755","0.524776007880986","4.07661938592011e-07","1e-07"," ","","","",""
"10","257783.017788983","197503.057286508","313147.984374446","0.524776007880986","4.07661938592011e-07","1e-07"," ","","","",""
"11","221354.233669952","131281.281310131","169992.387475393","0.524776007880986","4.07661938592011e-07","1e-07"," ","","","",""
"12","204814.142760885","217034.973799153","299798.456874621","0.524776007880986","4.07661938592011e-07","1e-07"," ","","","",""
""
"b). Catch(2019) = 2018 catch  -20%"
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","3975638.38271505","3975638.38271505","3975638.38271505","0.00281078124314158","0.00307937561735959","0.00306329796696286"," ","2018","2345982.31728889","0.457005817456298","1000558.99491934"
"1","4519013.86897967","3412259.06171774","3411342.67120457","0.0396632104102966","0.0434533720266179","0.0432264987215022"," ","2019","2019139.14048768","0.500676662298164","800447.2"
"2","683297.641790332","3738298.60343369","2812070.88415445","0.0765392761090037","0.0838532636417438","0.0834154594811028"," ","2020","1878279.11661812","0.498062592","672172.95279992"
"3","1154065.08213806","544785.028899902","2958780.90005534","0.202312610730275","0.221645324440423","0.220488097625242"," ","","","",""
"4","2494490.10579795","811377.346819524","375683.092920346","0.340787845430027","0.37335306134917","0.371403757093761"," ","","","",""
"5","828584.021928141","1526986.97510844","480765.762093998","0.408333920115755","0.447353745658241","0.445018078295736"," ","","","",""
"6","785975.56514907","474083.907526387","840248.79272364","0.486355305973737","0.532830747409947","0.530048798228694"," ","","","",""
"7","961329.355141429","415952.220199671","239500.038766866","0.524776007880986","0.574922878536732","0.571921163190905"," ","","","",""
"8","714406.614172802","489576.662522114","201471.416925579","0.524776007880986","0.574922878536732","0.571921163190905"," ","","","",""
"9","387815.639989016","363826.199605637","237132.293330897","0.524776007880986","0.574922878536732","0.571921163190905"," ","","","",""
"10","257783.017788983","197503.057286508","176223.557393225","0.524776007880986","0.574922878536732","0.571921163190905"," ","","","",""
"11","221354.233669952","131281.281310131","95662.9604706656","0.524776007880986","0.574922878536732","0.571921163190905"," ","","","",""
"12","204814.142760885","217034.973799153","168711.130863522","0.524776007880986","0.574922878536732","0.571921163190905"," ","","","",""
""
"c). Catch(2019) = 2018 catch"
