2018
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"0",3975638.38271505,0.15,0,0,0.332333333333333,0,0.00218350022357925,0.0346666666666667
"1",4519013.86897967,0.15,0.102666666666667,0.182,0.332333333333333,0.065,0.0308115862840883,0.163333333333333
"2",683297.641790332,0.15,0.755666666666667,0.182,0.332333333333333,0.198333333333333,0.0594580339200683,0.249333333333333
"3",1154065.08213806,0.15,0.940333333333333,0.198666666666667,0.332333333333333,0.241,0.157162579564078,0.301
"4",2494490.10579795,0.15,0.998,0.198666666666667,0.332333333333333,0.271666666666667,0.264734346902739,0.335
"5",828584.021928141,0.15,0.999333333333333,0.173666666666667,0.332333333333333,0.298333333333333,0.317206188864137,0.361333333333333
"6",785975.56514907,0.15,1,0.173666666666667,0.332333333333333,0.326666666666667,0.377815570643866,0.390666666666667
"7",961329.355141429,0.15,0.999,0.173666666666667,0.332333333333333,0.350666666666667,0.407661938592011,0.415333333333333
"8",714406.614172802,0.15,1,0.173666666666667,0.332333333333333,0.38,0.407661938592011,0.441666666666667
"9",387815.639989016,0.15,1,0.173666666666667,0.332333333333333,0.403,0.407661938592011,0.461333333333333
"10",257783.017788983,0.15,1,0.173666666666667,0.332333333333333,0.433333333333333,0.407661938592011,0.484
"11",221354.233669952,0.15,1,0.173666666666667,0.332333333333333,0.452333333333333,0.407661938592011,0.506
"12",204814.142760885,0.15,1,0.173666666666667,0.332333333333333,0.504333333333333,0.407661938592011,0.537
""
2019
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"0",3975638.38271505,0.15,0,0,0.332333333333333,0,0.00218350022357925,0.0346666666666667
"1",-,0.15,0.102666666666667,0.182,0.332333333333333,0.065,0.0308115862840883,0.163333333333333
"2",-,0.15,0.755666666666667,0.182,0.332333333333333,0.198333333333333,0.0594580339200683,0.249333333333333
"3",-,0.15,0.940333333333333,0.198666666666667,0.332333333333333,0.241,0.157162579564078,0.301
"4",-,0.15,0.998,0.198666666666667,0.332333333333333,0.271666666666667,0.264734346902739,0.335
"5",-,0.15,0.999333333333333,0.173666666666667,0.332333333333333,0.298333333333333,0.317206188864137,0.361333333333333
"6",-,0.15,1,0.173666666666667,0.332333333333333,0.326666666666667,0.377815570643866,0.390666666666667
"7",-,0.15,0.999,0.173666666666667,0.332333333333333,0.350666666666667,0.407661938592011,0.415333333333333
"8",-,0.15,1,0.173666666666667,0.332333333333333,0.38,0.407661938592011,0.441666666666667
"9",-,0.15,1,0.173666666666667,0.332333333333333,0.403,0.407661938592011,0.461333333333333
"10",-,0.15,1,0.173666666666667,0.332333333333333,0.433333333333333,0.407661938592011,0.484
"11",-,0.15,1,0.173666666666667,0.332333333333333,0.452333333333333,0.407661938592011,0.506
"12",-,0.15,1,0.173666666666667,0.332333333333333,0.504333333333333,0.407661938592011,0.537
""
2020
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"0",3975638.38271505,0.15,0,0,0.332333333333333,0,0.00218350022357925,0.0346666666666667
"1",-,0.15,0.102666666666667,0.182,0.332333333333333,0.065,0.0308115862840883,0.163333333333333
"2",-,0.15,0.755666666666667,0.182,0.332333333333333,0.198333333333333,0.0594580339200683,0.249333333333333
"3",-,0.15,0.940333333333333,0.198666666666667,0.332333333333333,0.241,0.157162579564078,0.301
"4",-,0.15,0.998,0.198666666666667,0.332333333333333,0.271666666666667,0.264734346902739,0.335
"5",-,0.15,0.999333333333333,0.173666666666667,0.332333333333333,0.298333333333333,0.317206188864137,0.361333333333333
"6",-,0.15,1,0.173666666666667,0.332333333333333,0.326666666666667,0.377815570643866,0.390666666666667
"7",-,0.15,0.999,0.173666666666667,0.332333333333333,0.350666666666667,0.407661938592011,0.415333333333333
"8",-,0.15,1,0.173666666666667,0.332333333333333,0.38,0.407661938592011,0.441666666666667
"9",-,0.15,1,0.173666666666667,0.332333333333333,0.403,0.407661938592011,0.461333333333333
"10",-,0.15,1,0.173666666666667,0.332333333333333,0.433333333333333,0.407661938592011,0.484
"11",-,0.15,1,0.173666666666667,0.332333333333333,0.452333333333333,0.407661938592011,0.506
"12",-,0.15,1,0.173666666666667,0.332333333333333,0.504333333333333,0.407661938592011,0.537
""
