"Rationale","Fbar (2018)","Catch (2018)","SSB (2018)","TSB (2018)","Fbar (2019)","Catch (2019)","SSB (2019)","TSB (2019)","SSB (2020)","TSB (2020)"
Catch(2019) = Zero,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,3.55015996718953e-07,0.702196501038358,2159046.97033753,2658309.15551512,2634772.2450906,3158158.29794736
Catch(2019) = 2018 catch  -20%,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.500676662298164,800447.2,2019139.14048768,2658309.15551512,1878279.11661812,2473331.02801717
Catch(2019) = 2018 catch,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.668544597299067,1000558.99999999,1974804.71637382,2658309.15551512,1699897.96155944,2303042.26165738
Catch(2019) = 2018  +25%,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.917186101393623,1250698.75,1911385.84340246,2658309.15551512,1483789.33109256,2090814.66956422
Fbar(2019) = 0.24 (Fmp),0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.24,427351.851032149,2090509.92740361,2658309.15551512,2222510.75118575,2791871.97828394
Fbar(2019) = 0.23 ,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.23,411295.792583127,2093310.64417686,2658309.15551512,2237678.79275896,2805608.0299292
Fbar(2019) = Fbar(2018) ,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.384086163238795,643851.466936223,2050674.26458702,2658309.15551512,2020594.29245604,2606872.80990848
Fbar(2019) = 0.31 (Fpa),0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.35,595043.315501509,2060011.1176048,2658309.15551512,2065682.61361778,2648542.98056655
Fbar(2019) = F2018,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.455264667,741292.052262475,2031348.7064838,2658309.15551512,1931357.19876894,2523749.37187978
Fbar(2019) = 0.43 (Flim),0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.48,773794.918988026,2024686.77052946,2658309.15551512,1901825.42247565,2496042.64953746
Fbar(2019) = 0.21 (Fmsy),0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.21,378758.741723005,2098926.24476427,2658309.15551512,2268496.06273386,2833450.20399495
Fbar(2019) = 0.26,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.26,459046.068351876,2084922.61851193,2658309.15551512,2192646.41429759,2764763.73044979
Fbar(2019) = 0.27,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.27,474686.997170431,2082136.00948593,2658309.15551512,2177946.41230447,2751389.08722208
Fbar(2019) = 0.28,0.457005817456298,1000558.99491934,2345982.31728889,2968999.19737491,0.28,490192.295418627,2079354.08616072,2658309.15551512,2163398.75478753,2738132.48781898
