"Rationale","Fbar (2018)","Catch (2018)","SSB (2018)","TSB (2018)","Fbar (2019)","Catch (2019)","SSB (2019)","TSB (2019)","SSB (2020)","TSB (2020)"
Fmult(2017) = 0.000,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,2.85233560483886e-07,1.03521983027834,4140647.25322787,4835755.90416082,4619843.03551634,5288287.89453118
Fmult(2017) = 0.010,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.00285804216495884,10359.7560770982,4139078.0310531,4835755.90416082,4611477.44099235,5279467.72130018
Fmult(2017) = 0.020,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.00571608432991765,20693.2525555432,4137509.38537586,4835755.90416082,4603095.18448095,5270669.57744878
Fmult(2017) = 0.030,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.00857412649487649,31000.5642453998,4135941.47248741,4835755.90416082,4594697.35331714,5261894.27823352
Fmult(2017) = 0.040,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.0114321686598353,41281.7657335062,4134374.29201806,4835755.90416082,4586284.14233613,5253141.75762086
Fmult(2017) = 0.050,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.0142902108247941,51536.9313841569,4132807.84359832,4835755.90416082,4577855.74620629,5244411.94977613
Fmult(2017) = 0.060,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.0171482529897529,61766.1353397821,4131242.1268589,4835755.90416082,4569412.3594219,5235704.78906289
Fmult(2017) = 0.070,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.0200062951547118,71969.4515216261,4129677.14143069,4835755.90416082,4560954.17629601,5227020.21004237
Fmult(2017) = 0.080,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.0228643373196706,82146.953630422,4128112.88694479,4835755.90416082,4552481.39095326,5218358.14747279
Fmult(2017) = 0.090,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.0257223794846294,92298.7151470662,4126549.36303246,4835755.90416082,4543994.19732281,5209718.53630884
Fmult(2017) = 0.100,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.0285804216495882,102424.809333289,4124986.5693252,4835755.90416082,4535492.78913127,5201101.31170099
Fmult(2017) = 0.110,0.285804216495882,1000558.99801704,4171154.1252277,5122720.87023111,0.031438463814547,112525.309232326,4123424.50545467,4835755.90416082,4526977.35989563,5192506.40899497
