"a). Catch(2019) = Zero"
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","4397873.9747327","4397873.9747327","4397873.9747327","0.00209968005308639","2.09548769000563e-09","6.45910117483447e-10"," ","2018","4171154.1252277","0.285804216495882","1000558.99801704"
"1","4893004.34195685","3777345.6596892","3785285.20143259","0.0118572513188509","1.18335763296089e-08","3.64756458067597e-09"," ","2019","4140647.25322787","2.85233560483886e-07","1.03521983027834"
"2","5028684.08822179","4161806.55639056","3251191.50053584","0.0388398855940611","3.87623352538623e-08","1.19480465751091e-08"," ","2020","4619843.03551634","8.79199832292375e-08","0.378696049023192"
"3","2025719.533197","4163343.39255034","3582099.96057289","0.108403822967941","1.08187376569569e-07","3.33475216502409e-08"," ","","","",""
"4","3558913.83628159","1564429.37284614","3583422.47888354","0.200472019955196","2.00071743973172e-07","6.16698271582224e-08"," ","","","",""
"5","1254604.8902811","2506740.68184003","1346516.57036238","0.262693465630429","2.62168954105329e-07","8.0810582068478e-08"," ","","","",""
"6","1140248.18370323","830379.236517535","2157571.13404066","0.315709393497243","3.15079026787991e-07","9.71195069194869e-08"," ","","","",""
"7","1380998.65609648","715722.004144895","714713.807137026","0.325073101698271","3.24424038776469e-07","1e-07"," ","","","",""
"8","1075660.15783485","858759.648141389","616027.438016298","0.325073101698271","3.24424038776469e-07","1e-07"," ","","","",""
"9","619201.793229243","668888.079350482","739141.03919211","0.325073101698271","3.24424038776469e-07","1e-07"," ","","","",""
"10","389104.221385326","385044.193732302","575717.118456094","0.325073101698271","3.24424038776469e-07","1e-07"," ","","","",""
"11","344221.890613364","241960.412323419","331410.501303997","0.325073101698271","3.24424038776469e-07","1e-07"," ","","","",""
"12","274892.536745176","384989.866174449","539620.930458996","0.325073101698271","3.24424038776469e-07","1e-07"," ","","","",""
""
"b). Catch(2019) = 2018 catch  -20%"
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","4397873.9747327","4397873.9747327","4397873.9747327","0.00209968005308639","0.00180141342898368","0.00365905059915718"," ","2018","4171154.1252277","0.285804216495882","1000558.99801704"
"1","4893004.34195685","3777345.6596892","3778472.48386585","0.0118572513188509","0.0101728888290456","0.0206632827124417"," ","2019","4008632.74366458","0.245204764839787","800447.199999944"
"2","5028684.08822179","4161806.55639056","3218285.18902384","0.0388398855940611","0.0333225490171633","0.0676851249052172"," ","2020","3715633.574774","0.498062592","1440113.12409915"
"3","2025719.533197","4163343.39255034","3464702.25394363","0.108403822967941","0.0930046947679334","0.188912150114831"," ","","","",""
"4","3558913.83628159","1564429.37284614","3265176.29554531","0.200472019955196","0.171994294250657","0.349356685868906"," ","","","",""
"5","1254604.8902811","2506740.68184003","1133745.60425033","0.262693465630429","0.225376973981019","0.457788167009913"," ","","","",""
"6","1140248.18370323","830379.236517535","1722206.64585616","0.315709393497243","0.270861810715514","0.550177463341415"," ","","","",""
"7","1380998.65609648","715722.004144895","545128.036914471","0.325073101698271","0.278895372625874","0.566495321889883"," ","","","",""
"8","1075660.15783485","858759.648141389","466098.253617584","0.325073101698271","0.278895372625874","0.566495321889883"," ","","","",""
"9","619201.793229243","668888.079350482","559248.381295987","0.325073101698271","0.278895372625874","0.566495321889883"," ","","","",""
"10","389104.221385326","385044.193732302","435598.687542605","0.325073101698271","0.278895372625874","0.566495321889883"," ","","","",""
"11","344221.890613364","241960.412323419","250751.584029662","0.325073101698271","0.278895372625874","0.566495321889883"," ","","","",""
"12","274892.536745176","384989.866174449","408287.614773061","0.325073101698271","0.278895372625874","0.566495321889883"," ","","","",""
""
"c). Catch(2019) = 2018 catch"
"Age","N(2018)","N(2019)","N(2020)","F(2018)","F(2019)","F(2020)","","Year","SSB","F.bar","Yield"
"0","4397873.9747327","4397873.9747327","4397873.9747327","0.00209968005308639","0.00231890993425333","0.00488417041606154"," ","2018","4171154.1252277","0.285804216495882","1000558.99801704"
"1","4893004.34195685","3777345.6596892","3776517.64341537","0.0118572513188509","0.0130952798431383","0.0275817432385522"," ","2019","3971674.56273652","0.315645346018116","1000559"
"2","5028684.08822179","4161806.55639056","3208893.83060118","0.0388398855940611","0.0428952003506151","0.0903473935959342"," ","2020","3490574.91718494","0.664823432","1712660.70936942"
"3","2025719.533197","4163343.39255034","3431694.10709276","0.108403822967941","0.119722384189861","0.252163535272774"," ","","","",""
"4","3558913.83628159","1564429.37284614","3179093.41785458","0.200472019955196","0.221403521898776","0.466327956811324"," ","","","",""
"5","1254604.8902811","2506740.68184003","1079089.48662466","0.262693465630429","0.290121576484192","0.611064362610311"," ","","","",""
