2018
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"0",4397873.9747327,0.15,0,0,0.332333333333333,0,0.00209548769000563,0.0346666666666667
"1",4893004.34195685,0.15,0.102666666666667,0.182,0.332333333333333,0.065,0.0118335763296089,0.163333333333333
"2",5028684.08822179,0.15,0.755666666666667,0.182,0.332333333333333,0.198333333333333,0.0387623352538623,0.249333333333333
"3",2025719.533197,0.15,0.940333333333333,0.198666666666667,0.332333333333333,0.241,0.108187376569569,0.301
"4",3558913.83628159,0.15,0.998,0.198666666666667,0.332333333333333,0.271666666666667,0.200071743973172,0.335
"5",1254604.8902811,0.15,0.999333333333333,0.173666666666667,0.332333333333333,0.298333333333333,0.262168954105329,0.361333333333333
"6",1140248.18370323,0.15,1,0.173666666666667,0.332333333333333,0.326666666666667,0.315079026787991,0.390666666666667
"7",1380998.65609648,0.15,0.999,0.173666666666667,0.332333333333333,0.350666666666667,0.324424038776469,0.415333333333333
"8",1075660.15783485,0.15,1,0.173666666666667,0.332333333333333,0.38,0.324424038776469,0.441666666666667
"9",619201.793229243,0.15,1,0.173666666666667,0.332333333333333,0.403,0.324424038776469,0.461333333333333
"10",389104.221385326,0.15,1,0.173666666666667,0.332333333333333,0.433333333333333,0.324424038776469,0.484
"11",344221.890613364,0.15,1,0.173666666666667,0.332333333333333,0.452333333333333,0.324424038776469,0.506
"12",274892.536745176,0.15,1,0.173666666666667,0.332333333333333,0.504333333333333,0.324424038776469,0.537
""
2019
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"0",4397873.9747327,0.15,0,0,0.332333333333333,0,0.00209548769000563,0.0346666666666667
"1",-,0.15,0.102666666666667,0.182,0.332333333333333,0.065,0.0118335763296089,0.163333333333333
"2",-,0.15,0.755666666666667,0.182,0.332333333333333,0.198333333333333,0.0387623352538623,0.249333333333333
"3",-,0.15,0.940333333333333,0.198666666666667,0.332333333333333,0.241,0.108187376569569,0.301
"4",-,0.15,0.998,0.198666666666667,0.332333333333333,0.271666666666667,0.200071743973172,0.335
"5",-,0.15,0.999333333333333,0.173666666666667,0.332333333333333,0.298333333333333,0.262168954105329,0.361333333333333
"6",-,0.15,1,0.173666666666667,0.332333333333333,0.326666666666667,0.315079026787991,0.390666666666667
"7",-,0.15,0.999,0.173666666666667,0.332333333333333,0.350666666666667,0.324424038776469,0.415333333333333
"8",-,0.15,1,0.173666666666667,0.332333333333333,0.38,0.324424038776469,0.441666666666667
"9",-,0.15,1,0.173666666666667,0.332333333333333,0.403,0.324424038776469,0.461333333333333
"10",-,0.15,1,0.173666666666667,0.332333333333333,0.433333333333333,0.324424038776469,0.484
"11",-,0.15,1,0.173666666666667,0.332333333333333,0.452333333333333,0.324424038776469,0.506
"12",-,0.15,1,0.173666666666667,0.332333333333333,0.504333333333333,0.324424038776469,0.537
""
2020
"Age","N","M","Mat","PF","PM","SWt","Sel","CWt"
"0",4397873.9747327,0.15,0,0,0.332333333333333,0,0.00209548769000563,0.0346666666666667
"1",-,0.15,0.102666666666667,0.182,0.332333333333333,0.065,0.0118335763296089,0.163333333333333
"2",-,0.15,0.755666666666667,0.182,0.332333333333333,0.198333333333333,0.0387623352538623,0.249333333333333
"3",-,0.15,0.940333333333333,0.198666666666667,0.332333333333333,0.241,0.108187376569569,0.301
"4",-,0.15,0.998,0.198666666666667,0.332333333333333,0.271666666666667,0.200071743973172,0.335
"5",-,0.15,0.999333333333333,0.173666666666667,0.332333333333333,0.298333333333333,0.262168954105329,0.361333333333333
"6",-,0.15,1,0.173666666666667,0.332333333333333,0.326666666666667,0.315079026787991,0.390666666666667
"7",-,0.15,0.999,0.173666666666667,0.332333333333333,0.350666666666667,0.324424038776469,0.415333333333333
"8",-,0.15,1,0.173666666666667,0.332333333333333,0.38,0.324424038776469,0.441666666666667
"9",-,0.15,1,0.173666666666667,0.332333333333333,0.403,0.324424038776469,0.461333333333333
"10",-,0.15,1,0.173666666666667,0.332333333333333,0.433333333333333,0.324424038776469,0.484
"11",-,0.15,1,0.173666666666667,0.332333333333333,0.452333333333333,0.324424038776469,0.506
"12",-,0.15,1,0.173666666666667,0.332333333333333,0.504333333333333,0.324424038776469,0.537
""
