"Rationale","Fbar (2018)","Catch (2018)","SSB (2018)","TSB (2018)","Fbar (2019)","Catch (2019)","SSB (2019)","TSB (2019)","SSB (2020)","TSB (2020)"
Catch(2019) = Zero,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,2.85233560483886e-07,1.04394966909044,4272834.85551702,5019115.76239567,4791314.33770853,5479866.97626125
Catch(2019) = 2018 catch  -20%,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.242725021502855,800447.199999913,4141282.33911918,5019115.76239567,3880444.03955625,4799739.44274499
Catch(2019) = 2018 catch,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.312277741209959,1000559,4104531.35617193,5019115.76239567,3653113.24199635,4630307.32818162
Catch(2019) = 2018  +25%,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.405418074105739,1250698.75,4055960.91043128,5019115.76239567,3367373.43085777,4418902.73580361
Fbar(2019) = 0.24 (Fmp),0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.24,792362.337737254,4142730.6662179,5019115.76239567,4022755.95107936,4806590.26517808
Fbar(2019) = 0.23 ,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.23,762530.993794966,4148051.07326527,5019115.76239567,4051089.60695144,4831871.85904344
Fbar(2019) = Fbar(2018) ,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.287287898473486,930021.994945141,4117688.09024257,5019115.76239567,3892649.14600154,4689999.9451371
Fbar(2019) = 0.31 (Fpa),0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.35,1104241.76711041,4084771.81867163,5019115.76239567,3729530.23349054,4542626.47157787
Fbar(2019) = F2018,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.455264667,1376741.50070561,4030266.26430515,5019115.76239567,3477969.11708674,4312551.62662683
Fbar(2019) = 0.43 (Flim),0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.48,1437370.0078419,4017592.5038588,5019115.76239567,3422610.77693829,4261438.67954082
Fbar(2019) = 0.21 (Fmsy),0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.21,702094.476461583,4158717.80974392,5019115.76239567,4108641.76276625,4883107.95216286
Fbar(2019) = 0.26,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.26,851263.803572346,4132115.6985065,5019115.76239567,3966956.43398831,4756688.84667232
Fbar(2019) = 0.27,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.27,880338.890400645,4126821.10752544,5019115.76239567,3939483.87740317,4732064.63717249
Fbar(2019) = 0.28,0.285178627568859,1000558.99771495,4178339.57482984,5192743.29560691,0.28,909166.813755828,4121535.09162889,5019115.76239567,3912291.72645246,4707655.20902769
